来源面,类别,符号,使用次数,涉及文件数,示例文件
结构化C#,领域API,CHECKGOLD,53,28,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,领域API,TAKEGOLD,52,27,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,领域API,HASITEM,49,22,CSharpScripts/NPCs/00Default/UseItemServerTestScrollPages.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,领域API,OPENNPCBUYPANEL,44,44,CSharpScripts/NPCs/比奇省/比奇城/彩票世旭0.cs；CSharpScripts/NPCs/比奇省/比奇城/督察官0.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,领域API,OPENNPCSELLPANEL,38,38,CSharpScripts/NPCs/比奇省/比奇城/材料回收0.cs；CSharpScripts/NPCs/比奇省/比奇城/觉醒弟子0.cs；CSharpScripts/NPCs/比奇省/比奇城/肉店店员0.cs
结构化C#,领域API,TAKEITEM,37,18,CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs；CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs
结构化C#,领域API,SETFLAG,36,20,CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/彩票世旭0.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,领域API,GIVEGOLD,20,7,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/比奇城/游戏向导0.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs
结构化C#,领域API,GETFLAG,15,12,CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/彩票世旭0.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,领域API,LOCALMESSAGE,15,15,CSharpScripts/NPCs/比奇省/比奇城/皇宫副官0.cs；CSharpScripts/NPCs/比奇省/边界村/边界监狱0127.cs；CSharpScripts/NPCs/比奇省/边界村/善行助理0.cs
结构化C#,领域API,OPENNPCSTORAGEPANEL,15,15,CSharpScripts/NPCs/比奇省/半兽古墓/仓库郑氏D002.cs；CSharpScripts/NPCs/比奇省/比奇城/东海旅馆店员0.cs；CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs
结构化C#,领域API,HASBUFF,14,3,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart299_305.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart50_76.cs
结构化C#,领域API,ISONMAP,14,1,CSharpScripts/SystemScripts/00Default/LevelUpHooks.cs
结构化C#,领域API,REMOVEBUFF,14,3,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/SystemScripts/00Default/CustomCommandHooks.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart299_305.cs
结构化C#,领域API,ADDBUFFFROMSETBUFFS,12,4,CSharpScripts/SystemScripts/00Default/CustomCommandHooks.cs；CSharpScripts/SystemScripts/00Default/MapEnterHooks.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart299_305.cs
结构化C#,领域API,ISQUESTCOMPLETED,12,11,CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫副官0.cs；CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs
结构化C#,领域API,OPENNPCCRAFTPANEL,12,12,CSharpScripts/NPCs/比奇省/比奇城/制造尚宫0.cs；CSharpScripts/NPCs/比奇省/边界村/制造尚宫0边界村.cs；CSharpScripts/NPCs/道馆/道馆区域/制造尚宫11.cs
结构化C#,领域API,COLLECTNPCPARCELS,10,10,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/道馆/道馆区域/仓库保管11.cs
结构化C#,领域API,OPENNPCSENDPARCELPANEL,10,10,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/道馆/道馆区域/仓库保管11.cs
结构化C#,领域API,CHECKLEVEL,9,3,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/比奇省/比奇城/游戏向导0.cs；CSharpScripts/NPCs/游戏管理/管理综合GM.cs
结构化C#,领域API,MONGEN,7,6,CSharpScripts/NPCs/00Monster/MonsterHooks.cs；CSharpScripts/NPCs/道馆/野外其他/季正D10061.cs；CSharpScripts/NPCs/昆仑/秘密书库/飞燕嘉文InDun_SD_SecR_1.cs
结构化C#,领域API,OPENDEFAULTNPCPAGE,7,2,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart500_542.cs
结构化C#,领域API,OPENNPCCONSIGNPANEL,7,6,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
结构化C#,领域API,OPENNPCMARKETPANEL,7,7,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
结构化C#,领域API,LOADVALUE,6,1,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs
结构化C#,领域API,MONCLEAR,5,4,CSharpScripts/NPCs/道馆/野外其他/季正D10061.cs；CSharpScripts/NPCs/昆仑/秘密书库/飞燕嘉文InDun_SD_SecR_1.cs；CSharpScripts/NPCs/昆仑/秘密书库/研究员摩鲁InDun_SD_SecR_1.cs
结构化C#,领域API,TRYENTERMAP,5,2,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/SystemScripts/00Default/MapCoordHooks.cs
结构化C#,领域API,REVIVEHERO,4,4,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/系统英雄/招募英雄.cs；CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,SAVEVALUE,4,1,CSharpScripts/NPCs/00Default/UseItemPositioningScrollPages.cs
结构化C#,领域API,CHECKBUFF,3,2,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/比奇省/边界村/边界监狱0127.cs
结构化C#,领域API,EXPIRETIMER,3,2,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/游戏活动/爱心兔子.cs
结构化C#,领域API,GIVEGUILDEXP,3,1,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart13_32.cs
结构化C#,领域API,MANAGEHEROES,3,3,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/系统英雄/英雄管理.cs；CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,SEALHERO,3,3,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/系统英雄/英雄管理.cs；CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,ADDBUFF,2,2,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart500_542.cs
结构化C#,领域API,ADDNAMETONAMELIST,2,2,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/NPCs/比奇省/边界村/善行助理0.cs
结构化C#,领域API,ADDTOGUILD,2,2,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/NPCs/比奇省/边界村/善行助理0.cs
结构化C#,领域API,CLEARPETS,2,2,CSharpScripts/NPCs/游戏管理/管理综合GM.cs；CSharpScripts/SystemScripts/00Default/CustomCommandHooks.cs
结构化C#,领域API,CREATEGUILD,2,2,CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs；CSharpScripts/NPCs/游戏管理/管理综合GM.cs
结构化C#,领域API,CREATEHERO,2,2,CSharpScripts/NPCs/系统英雄/招募英雄.cs；CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,GETBAGFREESLOTCOUNT,2,2,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart13_32.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart50_76.cs
结构化C#,领域API,GETPLAYERCOUNTONMAP,2,2,CSharpScripts/NPCs/道馆/野外其他/季正D10061.cs；CSharpScripts/SystemScripts/00Default/OnAcceptQuestHooks.cs
结构化C#,领域API,GIVEBUFF,2,2,CSharpScripts/NPCs/比奇省/比奇城/皇宫副官0.cs；CSharpScripts/NPCs/游戏活动/雕刻师德勋.cs
结构化C#,领域API,NAMELISTCONTAINS,2,2,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/SystemScripts/00Default/LevelUpHooks.cs
结构化C#,领域API,OPENNPCBUYSELLNEWPANEL,2,2,CSharpScripts/NPCs/系统英雄/英雄管理.cs；CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,REDUCEPKPOINT,2,1,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs
结构化C#,领域API,REMOVENAMEFROMNAMELIST,2,2,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/SystemScripts/00Default/LevelUpHooks.cs
结构化C#,领域API,ROLLYUT,2,1,CSharpScripts/NPCs/游戏活动/满月颓废君.cs
结构化C#,领域API,SETHAIR,2,2,CSharpScripts/NPCs/比奇省/比奇城/美发店0107.cs；CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart50_76.cs
结构化C#,领域API,SETTIMER,2,2,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/游戏活动/爱心兔子.cs
结构化C#,领域API,TIMERECALL,2,2,CSharpScripts/NPCs/比奇省/比奇城/任务活动.cs；CSharpScripts/NPCs/游戏活动/爱心兔子.cs
结构化C#,领域API,TOGGLEGENDER,2,1,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs
结构化C#,领域API,TRYREMOVEFROMGUILD,2,2,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/SystemScripts/00Default/LevelUpHooks.cs
结构化C#,领域API,CHANGELEVEL,1,1,CSharpScripts/NPCs/游戏管理/管理综合GM.cs
结构化C#,领域API,CLEARMONSTERS,1,1,CSharpScripts/SystemScripts/00Default/OnAcceptQuestHooks.cs
结构化C#,领域API,CLOSEGATE,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,CONQUESTGATE,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,CONQUESTGUARD,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,CONQUESTSIEGE,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,CONQUESTWALL,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,DELETEHERO,1,1,CSharpScripts/NPCs/游戏管理/管理英雄GM.cs
结构化C#,领域API,GETPETCOUNT,1,1,CSharpScripts/SystemScripts/00Default/CustomCommandHooks.cs
结构化C#,领域API,GIVEEXP,1,1,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart13_32.cs
结构化C#,领域API,GIVEPET,1,1,CSharpScripts/SystemScripts/00Default/CustomCommandHooks.cs
结构化C#,领域API,GIVESKILL,1,1,CSharpScripts/NPCs/游戏管理/管理技能GM.cs
结构化C#,领域API,ISINRANGE,1,1,CSharpScripts/NPCs/关外地区/地狱道3层/地狱鬼魂.cs
结构化C#,领域API,ISQUESTACTIVE,1,1,CSharpScripts/NPCs/盟重省/任务特殊/远古神石D715.cs
结构化C#,领域API,LOADBUFFSTATSFROMSETBUFFS,1,1,CSharpScripts/SystemScripts/00Default/UseItems/UseItemsPart01_12_99.cs
结构化C#,领域API,OPENBROWSER,1,1,CSharpScripts/NPCs/游戏管理/管理综合GM.cs
结构化C#,领域API,OPENGATE,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,OPENNPCREFINECHECKPANEL,1,1,CSharpScripts/NPCs/盟重省/沙巴克/装备升级0151.cs
结构化C#,领域API,OPENNPCREFINECOLLECT,1,1,CSharpScripts/NPCs/盟重省/沙巴克/装备升级0151.cs
结构化C#,领域API,OPENNPCREFINEPANEL,1,1,CSharpScripts/NPCs/盟重省/沙巴克/装备升级0151.cs
结构化C#,领域API,OPENNPCREPLACEWEDDINGRINGPANEL,1,1,CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,领域API,REQUESTGUILDWAR,1,1,CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs
结构化C#,领域API,SCHEDULECONQUEST,1,1,CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs
结构化C#,领域API,SETCONQUESTRATE,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,领域API,TAKECONQUESTGOLD,1,1,CSharpScripts/NPCs/盟重省/沙巴克/沙城管理0150.cs
结构化C#,页面标签,[@MAIN],367,364,CSharpScripts/NPCs/比奇省/半兽古墓/仓库郑氏D002.cs；CSharpScripts/NPCs/比奇省/半兽古墓/洞窟老者D002.cs；CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs
结构化C#,页面标签,[@MAIN-1],206,205,CSharpScripts/NPCs/比奇省/比奇城/比奇城向导0.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇城主0122.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs
结构化C#,页面标签,[@BUYBACK],104,104,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇药店0108.cs
结构化C#,页面标签,[@BUYSELL],97,97,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇药店0108.cs
结构化C#,页面标签,[@REPAIR],67,66,CSharpScripts/NPCs/比奇省/半兽古墓/奸商崔氏DM001.cs；CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/首饰戒指0105.cs
结构化C#,页面标签,[@BUY],43,43,CSharpScripts/NPCs/比奇省/比奇城/彩票世旭0.cs；CSharpScripts/NPCs/比奇省/比奇城/督察官0.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs
结构化C#,页面标签,[@SELL],42,38,CSharpScripts/NPCs/比奇省/比奇城/材料回收0.cs；CSharpScripts/NPCs/比奇省/比奇城/觉醒弟子0.cs；CSharpScripts/NPCs/比奇省/比奇城/肉店店员0.cs
结构化C#,页面标签,[@B1],23,23,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@STORAGE],15,15,CSharpScripts/NPCs/比奇省/半兽古墓/仓库郑氏D002.cs；CSharpScripts/NPCs/比奇省/比奇城/东海旅馆店员0.cs；CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs
结构化C#,页面标签,[@ASK],14,14,CSharpScripts/NPCs/比奇省/比奇城/督察官0.cs；CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs
结构化C#,页面标签,[@地牢逃脱卷],12,12,CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs；CSharpScripts/NPCs/毒蛇山谷/村庄/杂货店2.cs
结构化C#,页面标签,[@回城卷],12,12,CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs；CSharpScripts/NPCs/毒蛇山谷/村庄/杂货店2.cs
结构化C#,页面标签,[@蜡烛],12,12,CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs；CSharpScripts/NPCs/毒蛇山谷/村庄/杂货店2.cs
结构化C#,页面标签,[@随机传送卷],12,12,CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs；CSharpScripts/NPCs/毒蛇山谷/村庄/杂货店2.cs
结构化C#,页面标签,[@修复油],12,12,CSharpScripts/NPCs/比奇省/比奇城/杂货小贩0.cs；CSharpScripts/NPCs/道馆/道馆区域/杂货商人1007.cs；CSharpScripts/NPCs/毒蛇山谷/村庄/杂货店2.cs
结构化C#,页面标签,[@CRAFT],12,12,CSharpScripts/NPCs/比奇省/比奇城/制造尚宫0.cs；CSharpScripts/NPCs/比奇省/边界村/制造尚宫0边界村.cs；CSharpScripts/NPCs/道馆/道馆区域/制造尚宫11.cs
结构化C#,页面标签,[@TELE],12,12,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@SREPAIR],11,11,CSharpScripts/NPCs/比奇省/比奇城/铁匠姜氏0.cs；CSharpScripts/NPCs/夔龙城/城内/特修铁匠4.cs；CSharpScripts/NPCs/盟重省/沙巴克/特殊修理0151.cs
结构化C#,页面标签,[@COLLECTPARCEL],10,10,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/道馆/道馆区域/仓库保管11.cs
结构化C#,页面标签,[@MOVE1],10,10,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@MOVE3],10,10,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@SENDPARCEL],10,10,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/道馆/道馆区域/仓库保管11.cs
结构化C#,页面标签,[@MOVE2],9,9,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@MOVE4],9,9,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@MOVE5],9,9,CSharpScripts/NPCs/比奇省/比奇城/传送员经录0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员俊昊0.cs；CSharpScripts/NPCs/比奇省/比奇城/传送员暖石0.cs
结构化C#,页面标签,[@TALK],9,9,CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/彩票世旭0.cs；CSharpScripts/NPCs/比奇省/比奇城/酒馆招待.cs
结构化C#,页面标签,[@肉HELP],8,8,CSharpScripts/NPCs/比奇省/比奇城/肉店店员0.cs；CSharpScripts/NPCs/比奇省/比奇城/肉店老金0102.cs；CSharpScripts/NPCs/比奇省/边界村/肉店金氏-0.cs
结构化C#,页面标签,[@MEATHELP],8,8,CSharpScripts/NPCs/比奇省/比奇城/肉店店员0.cs；CSharpScripts/NPCs/比奇省/比奇城/肉店老金0102.cs；CSharpScripts/NPCs/比奇省/边界村/肉店金氏-0.cs
结构化C#,页面标签,[@CONSIGNMENT],7,7,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
结构化C#,页面标签,[@HELPBOOKS],7,4,CSharpScripts/NPCs/比奇省/比奇城/书店老板0104.cs；CSharpScripts/NPCs/比奇省/边界村/书店道生0132.cs；CSharpScripts/NPCs/道馆/道馆区域/书店商人1004.cs
结构化C#,页面标签,[@MARKET],7,7,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
结构化C#,页面标签,[@CONSIGN],6,6,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
结构化C#,页面标签,[@MAIN-2],6,6,CSharpScripts/NPCs/比奇省/比奇城/公告牌0.cs；CSharpScripts/NPCs/比奇省/比奇城/皇宫封印0122.cs；CSharpScripts/NPCs/道馆/道馆区域/道馆馆主1002.cs
结构化C#,页面标签,[@CHECK2],5,5,CSharpScripts/NPCs/比奇省/比奇城/比奇防具0106.cs；CSharpScripts/NPCs/比奇省/比奇城/灵物管理0.cs；CSharpScripts/NPCs/道馆/道馆区域/道馆馆主1002.cs
结构化C#,页面标签,[@GBAR],5,5,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/夔龙城/城内/仓库保管.cs
结构化C#,页面标签,[@GBBUNDLE],5,5,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/夔龙城/城内/仓库保管.cs
结构化C#,页面标签,[@GCHEST],5,5,CSharpScripts/NPCs/比奇省/比奇城/客栈老板0125.cs；CSharpScripts/NPCs/比奇省/边界村/仓库保管0140.cs；CSharpScripts/NPCs/夔龙城/城内/仓库保管.cs
结构化C#,页面标签,[@GO],5,5,CSharpScripts/NPCs/比奇省/半兽古墓/远古神石D003.cs；CSharpScripts/NPCs/道馆/丛林迷宫/远古神石12.cs；CSharpScripts/NPCs/盟重省/任务特殊/远古神石D504.cs
结构化C#,页面标签,[@HELP],5,5,CSharpScripts/NPCs/夔龙城/城内/拍卖商店4.cs；CSharpScripts/NPCs/盟重省/土城/委托商3.cs；CSharpScripts/NPCs/盟重省/土城/TrustMerchant3.cs
