;;Movement
10001:  1.wav
0821:  1020-1.wav
0822:  1020-2.wav
0824:  1020-4.wav
0825:  1020-5.wav

;;MON -> Scorpion
0832:  1030-2.wav
0835:  1030-5.wav

;;MON -> Keratoid
0901:  1100-1.wav
0902:  1100-2.wav
0904:  1100-4.wav
0905:  1100-5.wav

;;MON -> GiantKeratoid
0911:  1110-1.wav
0912:  1110-2.wav
0914:  1110-4.wav
0915:  1110-5.wav

;;MON -> RedEvilApe
0921:  1360-1.wav
0922:  1360-2.wav
0923:  1360-3.wav
0924:  1360-4.wav
0925:  1360-5.wav

;;MON -> GrayEvilApe
0931:  1360-1.wav
0932:  1360-2.wav
0933:  1360-3.wav
0934:  1360-4.wav
0935:  1360-5.wav

;;MON -> Oma
1000:
1001:   1200-1.wav
1002:   1200-2.wav
1003:
1004:   1200-4.wav
1005:   1200-5.wav

;;MON -> OmaFighter
1010:
1011:   1210-1.wav
1012:   1210-2.wav
1013:   1220-3.wav
1014:   1210-4.wav
1015:   1210-5.wav

;;MON -> OmaWarrior
1020:
1021:   1220-1.wav
1022:   1220-2.wav
1023:   1220-3.wav
1024:   1220-4.wav
1025:   1220-5.wav

;;MON -> SpiderFrog
1030:
1031:   1230-1.wav
1032:   1230-2.wav
1033:   
1034:   1230-4.wav
1035:   1230-5.wav

;;MON -> HoroBlaster
1040:
1041:   1240-1.wav
1042:   1240-2.wav
1043:   
1044:   1240-4.wav
1045:   1240-5.wav

;;MON -> BlueHoroBlaster
1050:
1051:   1240-1.wav
1052:   1240-2.wav
1053:   
1054:   1240-4.wav
1055:   1240-5.wav

;;MON -> KekTal
1060:
1061:   1260-1.wav
1062:   1260-2.wav
1063:   1260-3.wav
1064:   1260-4.wav
1065:   1260-5.wav

;;MON -> VioletKekTal
1070:
1071:   1260-1.wav
1072:   1260-2.wav
1073:   
1074:   1260-4.wav
1075:   1260-5.wav

;;MON -> RedBoar
1101:   1310-1.wav
1102:   1310-2.wav
1104:   1310-4.wav
1105:   1310-5.wav

;;MON -> BlackBoar
1111:   1310-1.wav
1112:   1310-2.wav
1114:   1310-4.wav
1115:   1310-5.wav

;;MON -> BlackBoar
1121:   1320-1.wav
1123:   1320-3.wav
1124:   1320-4.wav
1125:   1320-5.wav

;;MON -> SpiderBat
1130:  
1131:  1330-1.wav
1132:  1330-2.wav
1133:  1330-3.wav
1134:  1330-4.wav
1135:  1330-5.wav

;;MON -> GangSpider
1141:  1340-1.wav
1142:  1340-2.wav
1143:  1340-3.wav
1144:  1340-4.wav
1145:  1340-5.wav

;;MON -> BigApe
1151:  1350-1.wav
1152:  1350-2.wav
1153:  
1154:  1350-4.wav
1155:  1350-5.wav

;;MON -> EvilApe
1161:  1360-1.wav
1162:  1360-2.wav
1163:  1360-3.wav
1164:  1360-4.wav
1165:  1360-5.wav

;;MON -> LureSpider
1171:  1370-1.wav
1172:  1370-2.wav
1173:  1370-3.wav
1174:  1370-4.wav
1175:  1370-5.wav

;;MON -> GreatSpider
1181:  1380-1.wav
1182:  1380-2.wav
1184:  1380-4.wav
1185:  1380-5.wav

;;MON -> VenomSpider
1191:  1390-1.wav
1192:  1390-2.wav
1193:  1390-3.wav
1194:  1390-4.wav
1195:  1390-5.wav

;;MON -> Tongs
1201:  1400-1.wav
1202:  1400-2.wav
1204:  1400-4.wav
1205:  1400-5.wav

;;MON -> EvilTongs
1211:  1410-1.wav
1212:  1410-2.wav
1214:  1410-4.wav
1215:  1410-5.wav

;;MON -> SnakeScorpion
1300:  
1301:  1500-1.wav
1302:  1500-2.wav
1303:  1500-3.wav
1304:  1500-4.wav
1305:  1500-5.wav

;;MON -> RedMoonEvil
1310:  
1311:  1510-1.wav
1312:  1510-2.wav
1313:  1510-3.wav
1314:  1510-4.wav
1315:  1510-5.wav

;;MON-> RootSpider
1321:  1520-1.wav
1322:  1520-2.wav
1324:  1520-4.wav
1325:  1520-5.wav

;;MON-> BombSpider
1331:  1530-1.wav
1332:  1530-2.wav
1334:  1530-4.wav
1335:  1530-5.wav

;;MON-> EvilCentipede
1340:  1600-0.wav
1342:  1600-2.wav
1343:  1600-3.wav
1344:  1600-4.wav
1345:  1600-5.wav

;;MON-> GhastlyLeecher
1351:  1551.wav
1352:  1552.wav
1354:  1554.wav
1355:  1555.wav
1357:  1557-foot-r.wav
1358:  1558-foot-l.wav

;;MON-> GhastlyLeecher
1361:  1551.wav
1362:  1552.wav
1364:  1554.wav
1365:  1555.wav
1367:  1567-boom.wav

;;MON-> MutatedManworm
1371:  1571.wav
1372:  1572.wav
1374:  1574.wav
1375:  1575.wav
1377:  1577-attack2.wav
1378:  1578-spacemove.wav

;;MON-> CrazyManworm
1381:  1571.wav
1382:  1572.wav
1384:  1574.wav
1385:  1575.wav
1387:  1587-attack2.wav

;;MON-> DreamDevourer
1391:  1591.wav
1392:  1592.wav
1394:  1594.wav
1395:  1595.wav
1397:  1597-attack2.wav
1398:  1598-foot-r.wav
1399:  1599-foot-l.wav

;;MON -> EvilCentipede1
1400:  1600-0.wav
1401:  
1402:  1600-2.wav
1403:  1600-3.wav
1404:  1600-4.wav
1405:  1600-5.wav

;;MON -> Snowman
1474:  1670-4.wav

;;MON -> BoneElite
1501:  1700-1.wav
1502:  1700-2.wav
1503:  1700-2.wav
1504:  1700-4.wav
1505:  1700-5.wav

;;MON -> WoomaGuardian
1511:  1710-1.wav
1512:  1710-2.wav
1514:  1710-4.wav
1515:  1710-5.wav

;;MON -> Ghoul
1521:  1720-1.wav
1522:  1720-2.wav
1524:  1720-4.wav
1525:  1720-5.wav

;;MON -> Hen
1601:  1800-1.wav
1602:  1800-2.wav
1604:  1800-4.wav
1605:  1800-5.wav

;;MON -> Deer
1610:
1611:  1810-1.wav
1612:  1810-2.wav
1613:  
1614:  1810-4.wav
1615:  1810-5.wav

;;MON -> Yob
1621:  1820-1.wav
1622:  1820-2.wav
1624:  1820-4.wav
1625:  1820-5.wav

;;MON -> SpittingSpider
1630:  
1631:  1830-1.wav
1632:  1830-2.wav
1634:  1830-4.wav
1635:  1830-5.wav

;;MON -> EvilSnake

;;MON -> Shinsu
1700:   M30-3.wav
1701:  1900-1.wav
1702:  
1704:  1900-4.wav
1705:  1900-5.wav

;;MON -> Shinsu1
1710:  1910-0.wav
1711:  1910-1.wav
1712:  1910-2.wav
1713:  1910-3.wav
1714:  1900-4.wav
1715:  1900-5.wav

;;MON -> HolyDeva
1720:  1920-0.wav
1721:  1920-1.wav
1722:  
1723:   M11-2.wav
1724:  1920-4.wav
1725:  1920-5.wav

;;MON -> KingScorpion
1800:   
1801:   2000-1.wav
1802:   2000-2.wav
1803:   2000-3.wav
1804:   2000-4.wav
1805:   2000-5.wav

;;MON -> KingHog
1810:   
1811:   2010-1.wav
1812:   2010-2.wav
1813:   2010-3.wav
1814:   2010-4.wav
1815:   2010-5.wav

;;MON -> DarkDevil
1820:   
1821:   2020-1.wav
1822:   2020-2.wav
1823:   2020-3.wav
1824:   2020-4.wav
1825:   2020-5.wav

;;MON -> Red Turtle
1830:
1831:  1310-1.wav
1832:  720-2.wav
1833:
1834:  480-4.wav
1835:  600-4.wav

;;MON -> GreenTurtle
1840:
1841:  1310-1.wav
1842:  720-2.wav
1843:
1844:  480-4.wav
1845:  600-4.wav

;;MON -> BlueTurtle
1850:
1851:  1310-1.wav
1852:  720-2.wav
1853:
1854:  480-4.wav
1855:  600-4.wav

;;MON -> Catapult
1864:   2060-4.wav
1865:   2060-5.wav
1866:   2060-make.wav
1867:   2060-att1-1.wav
1868:   2060-att1-2.wav

;;MON -> SabukWall
1884:   2080-4.wav
1885:   2080-5.wav
1886:   2080-break1.wav
1887:   2080-break2.wav

;;MON -> NammandWall
1894:   2080-4.wav
1895:   2080-5.wav
1800:
1801:   2100-1.wav
1802:   2100-2.wav

;;MON -> RoninGhoul
1903:   2100-3.wav 
1904:   2100-4.wav
1905:   2100-5.wav

;;MON -> ToxicGhoul
1910:
1911:   2110-1.wav
1912:   2110-2.wav
1913:   2110-3.wav
1914:   2110-4.wav
1915:   2110-5.wav

;;MON -> BoneCaptain
1920:
1921:   2120-1.wav
1922:   2120-2.wav
1923:   2120-3.wav
1924:   2120-4.wav
1925:   2120-5.wav

;;MON -> BoneSpearman
1930:
1931:   2130-1.wav
1932:   2130-2.wav
1933:   2130-3.wav
1934:   2130-4.wav
1935:   2130-5.wav

;;MON -> BoneBlademan
1940:
1941:   2140-1.wav
1942:   2130-2.wav
1943:   2140-3.wav
1944:   2130-4.wav
1945:   2130-5.wav

;;MON -> BoneArcher
1950:
1951:   2150-1.wav 
1952:   2130-2.wav
1953:   2150-3.wav
1954:   2130-4.wav
1955:   2130-5.wav

;;MON -> BoneLord
1960:   2160-0.wav
1961:   2160-1.wav
1962:   2160-2.wav
1963:   2160-3.wav
1964:   2160-4.wav
1965:   2160-5.wav

;;MON -> BlueSanta
1972:   2170-2.wav
1974:   2170-4.wav
1975:   2170-5.wav

;;MON -> BattleStandard
1984:   2180-4.wav
1985:   2180-5.wav

;;MON -> ArcherGuard2
1990:
1991:  
1992:  M99-5.wav
1993:  
1994:
1995:  wlidwoodwork_die.wav

;;MON -> Minotaur
2000:
2001:   2200-1.wav
2002:   2200-2.wav
2003:   2200-3.wav
2004:   2200-4.wav
2005:   2200-5.wav

;;MON -> IceMinotaur
2010:
2011:   2210-1.wav
2012:   2210-2.wav
2013:   2210-3.wav
2014:   2210-4.wav
2015:   2210-5.wav

;;MON -> ElectricMinotaur
2020:
2021:   2220-1.wav
2022:   2220-2.wav
2023:   2220-3.wav
2024:   2220-4.wav
2025:   2220-5.wav

;;MON -> WindMinotaur
2030:
2031:   2230-1.wav
2032:   2230-2.wav
2033:   2230-3.wav
2034:   2230-4.wav
2035:   2230-5.wav

;;MON -> FireMinotaur
2040:
2041:   2240-1.wav
2042:   2240-2.wav
2043:   2240-3.wav
2044:   2240-4.wav
2045:   2240-5.wav

;;MON -> RightGuard
2050:
2051:   2250-1.wav
2052:   2250-2.wav
2053:   2250-3.wav
2054:   2250-4.wav
2055:   2250-5.wav

;;MON -> LeftGuard
2060:
2061:   2260-1.wav
2062:   2260-2.wav
2063:   2260-3.wav
2064:   2260-4.wav
2065:   2260-5.wav

;;MON -> MinotaurKing
2070:
2071:   2270-1.wav
2072:   2270-2.wav
2073:   2270-3.wav
2074:   2270-4.wav
2075:   2270-5.wav
2076:   2270.wav

;;MON -> RedYimoogi

;;MON -> WingedOma
2100:
2101:   2300-1.wav
2102:   2300-2.wav
2103:   2300-3.wav
2104:   2300-4.wav
2105:   2300-5.wav
2106:   2300-6.wav

;;MON -> FlailOma
2110:
2111:   2310-1.wav
2112:
2113:   2310-3.wav
2114:   2310-4.wav
2115:   2310-5.wav
 
;;MON -> OmaGuard
2120:
2121:   2320-1.wav
2122:
2123:   2320-3.wav
2124:   2320-4.wav
2125:   2320-5.wav

;;MON -> SwordOma
2130:
2131:   2330-1.wav
2132:
2133:   2330-3.wav
2134:   2330-4.wav
2135:   2330-5.wav

2140:
2141:   2340-1.wav
2142:                 
2143:   2340-3.wav
2144:   2340-4.wav
2145:   2340-5.wav

2150:
2151:   2350-1.wav
2152:                 
2153:   2350-3.wav
2154:   2350-4.wav
2155:   2350-5.wav

2170:
2171:   2370-1.wav
2172:
2173:   2370-3.wav
2174:   2370-4.wav
2175:   2370-5.wav

2180:
2181:   2370-1.wav
2182:
2183:   2380-3.wav
2184:   2370-4.wav
2185:   2370-5.wav

2190:
2191:   2390-1.wav
2192:                 
2193:   2390-3.wav
2194:   2390-4.wav
2195:   2390-5.wav
2196:   2390-6.wav

2200:
2201:   2400-1.wav
2202:   2400-2.wav
2203:   
2204:   2400-4.wav
2205:   2400-5.wav
2206:   2400-6.wav

2210:
2211:   2410-1.wav
2212:   2410-2.wav
2213:   
2214:   2410-4.wav
2215:   2410-5.wav
2216:   2410-6.wav

2220:	
2221:	2420-1.wav
2222:	2420-2.wav
2223:
2224:	2420-4.wav
2225:	2420-5.wav
2226:	2420-6.wav

2230:	
2231:	2430-1.wav
2232:	2430-2.wav
2233:
2234:	2430-4.wav
2235:	2430-5.wav
2236:	2430-6.wav
2237:	2430-7.wav

2240:
2241:   2440-1.wav
2242:   2440-2.wav
2243:   
2244:   2440-4.wav
2245:   2440-5.wav
2246:   2440-att1.wav
2247:   2440-att2.wav
2248:   2440-att3.wav
2249:   2440-att4.wav

2250:
2251:  2450-1.wav
2252:  2450-2.wav
2253:
2254:  2450-4.wav
2255:  2450-5.wav

2260:
2261:  2460-1.wav
2262:  2460-2.wav
2263:
2264:  2460-4.wav
2265:  2460-5.wav

2270:
2271:  2470-1.wav
2272:  2470-2.wav
2273:
2274:  2470-4.wav
2275:  2470-5.wav

2280:	
2281:	2420-1.wav
2282:	2420-2.wav
2283:
2284:	2420-4.wav
2285:	2420-5.wav
2286:	2420-6.wav

2291:  2490-1.wav
2292:  2490-2.wav
2294:  2490-4.wav
2295:  2490-5.wav
2296:  2490-6walk.wav
2297:  2490-7att2.wav
2298:  2490-8att3.wav
2299:  2490-9att4.wav

2300:
2301:  900-1.wav
2302:  2500-2.wav
2303:
2304:  2500-4.wav
2305:  900-5.wav
2306:  2500-att1.wav

2310:
2311:  2510-1.wav
2312:  
2313:
2314:  2510-4.wav
2315:  900-5.wav
2316:  2510-att1.wav
2317:  2510-att2.wav

2320:
2321:  2520-1.wav
2322:  2520-2.wav
2323:
2324:  2520-4.wav
2325:  900-5.wav
2326:  2520-att1.wav
2327:  2520-att2.wav
2328:  2520-att3.wav

2330:  2530-0.wav
2331:  2530-1.wav
2332:  
2333:
2334:  2530-4.wav
2335:  2530-5.wav

2340:
2341:  M47-0.wav
2342:  
2343:
2344:  
2345:  
2346:  2540-att1.wav
2347:  2540-att2.wav

2350:
2351:  2550-1.wav
2352:  2550-2.wav
2353:
2354:  2550-4.wav
2355:  2550-5.wav

2360:
2361:  2560-1.wav
2362:  2560-2.wav
2363:
2364:  2560-4.wav
2365:  2560-5.wav

;;MON -> GreatFoxSpirit
2370:
2371:  2570-1.wav
2372:  
2373:   
2374:  2570-4.wav
2375:  2570-5.wav
2376:  2570-att1.wav
2377:  2570-att2.wav
2378:  2570-att3.wav
2379:  2570-att4.wav

;;MON -> HedgeKekTal
2380:
2381:  2580-1.wav
2382:  2580-2.wav
2383:
2384:  2580-4.wav
2385:  2580-5.wav

;;MON -> BigHedgeKekTal
2390:
2391:  2590-1.wav
2392:  2590-2.wav
2393:
2394:  2590-4.wav
2395:  2590-5.wav

;;MON -> RedFrogSpider
2400:
2401:  2600-1.wav
2402:  2600-2.wav
2403:
2404:  2600-4.wav
2405:  2600-5.wav

;;MON -> B
2410:
2411:  2610-1.wav
2412:  2610-2.wav
2413:
2414:  2610-4.wav
2415:  2610-5.wav

;;MON -> B
2420:
2421:  1310-1.wav
2422:  720-2.wav
2423:
2424:  480-4.wav
2425:  600-4.wav

;;MON -> B
2430:
2431:  1310-1.wav
2432:  
2433:
2434:  480-4.wav
2435:  600-4.wav

;;MON -> B
2440:  
2441:  810-1.wav
2442:  810-4.wav
2443:  
2444:  810-4.wav

2445:  M32-3
;;MON -> B
2450:
2451:  1310-1.wav
2452:  720-2.wav
2453:
2454:  480-4.wav
2455:  600-4.wav

;;MON -> B
2460:
2461:  1310-1.wav
2462:  
2463:
2464:  480-4.wav
2465:  600-4.wav

;;MON -> B
2470:
2471:   2330-1.wav
2472:
2473:   2330-3.wav
2474:   2330-4.wav
2475:   2330-5.wav

;;MON -> B
2480:
2481:   2340-1.wav
2482:                 
2483:   2340-3.wav
2484:   2340-4.wav
2485:   2340-5.wav

;;MON -> DarkCrossBowOma
2490:
2491:   2350-1.wav
2492:                 
2493:   2350-3.wav
2494:   2350-4.wav
2495:   2350-5.wav

;;MON -> DarkWingedOma
2500:
2501:   2300-1.wav
2502:   2300-2.wav
2503:   2300-3.wav
2504:   2300-4.wav
2505:   2300-5.wav
2506:   2300-6.wav

;;MON -> B
2510:
2511:   1700-1.wav
2512:   1700-2.wav
2513:   1700-2.wav
2514:   1700-4.wav
2515:   1700-5.wav

;;MON -> B
2520:
2521:   1830-1.wav
2522:   1830-2.wav
2523:
2524:   1830-4.wav
2525:   1830-5.wav

;;MON -> B
2530:    
2531:    680-1.wav
2532:    680-2.wav
2533:
2534:    680-4.wav
2535:    680-5.wav
;;MON -> B
2540:
2541:    490-1.wav
2542:    490-2.wav
2543:
